D:\Mr Tuan white\Tuan\CONG TRINH\An Giang\Cau Long Binh\TKKT\Ho so xuat\2010-09\30080 & 30090_Bo tri dau mo A1, A2-cau Kenh-new2.dwg,Dau mo cau Kenh so 2,11/17/2010 3:46:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/13/2010 6:24:41 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/13/2010 6:24:54 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\01. Expansion joint\Expansion Joint OP6.dwg,OP6,12/13/2010 6:26:24 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\02. Transition Slab\Transition Slab _ OP6.dwg,OP6,12/13/2010 6:27:40 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP6.dwg,OP6,12/13/2010 6:30:12 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP6.dwg,OP6,12/13/2010 6:30:25 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP6.dwg,OP6,12/13/2010 6:30:39 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP6.dwg,OP6,12/13/2010 6:30:55 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/13/2010 6:35:01 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/13/2010 6:35:13 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/13/2010 6:35:23 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2,12/14/2010 2:53:40 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
